document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,slug
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Penalty Settlement,Patrick Noyes,2018-03-23,2018-05-15,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO),dorchester
,4023,Annapolis Water Reclamation Facility,7228 Edgewood Road,"Annapolis,MD,21401",Anne Arundel,Consent Order,CO-12-1584,2012-02-12,2017-11-22,Surface Water Discharge Permit,Municipal Major,anne-arundel
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Consent Order,CO-16-2407,2016-06-20,,Surface Water Discharge Permit,Municipal Minor,kent
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,C-14-2077,2014-04-08,2014-05-01,Notice of Intent;Sediment,Notice of Intent (Construction),prince-georges
,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,,,2019-11-03,2019-12-09,Not Assigned,,montgomery
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Administrative Order,PS-17-2462,2017-04-20,2017-06-21,Surface Water Discharge Unauthorized,Collection System (SSO),wicomico
,8449,Back River WWTP,8201 Eastern Ave,"Baltimore,MD,21224",Baltimore,Settlement Agreement and Consent Order,CO-22-2817,2022-06-10,,Surface Water Discharge Permit,Municipal Major,baltimore
,9561,"Bob's Auto Collision, Inc.",4105 Annapolis Road,"Halethorpe,MD,21227",Baltimore,Penalty Settlement,Arno Laud,2018-07-17,2018-08-15,Surface Water Discharge Unauthorized,Industrial Minor,baltimore
,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Consent Decree,Jess Herpel,2006-08-06,,Surface Water Discharge Permit,,carroll
,17910,Liberty Square Shopping Center,8700 Liberty Road,"Randallstown,MD,21133",Baltimore,Penalty Settlement,PS-13-1736,2012-08-13,2012-10-09,Notice of Intent,Notice of Intent (Construction),baltimore
,18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Consent Order,COP-13-1825,2013-01-07,2018-11-27,Groundwater Discharge Permit,Municipal Minor,worcester
,18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Penalty Settlement,PS-15-2164,2014-10-09,2014-10-21,Surface Water Discharge Unauthorized,Collection System (SSO),worcester
,2468,"Brian Baker, Inc",2001 Conowingo Rd,"Bel Air,MD,21014",Harford,Settlement Agreement,SA-20-2624,2019-12-17,2019-12-17,Non-Tidal Wetlands;Surface Water Discharge Permit,Industrial Stormwater,harford
,2756,Delmarva Lumber LLC.,7504 Main Street,"Willards,MD,21874",Wicomico,Consent Order,COP-13-1946,2013-06-11,2016-09-13,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Stormwater,wicomico
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,"Complaint, Order, Penalty",COP-16-2405,2016-06-08,2022-03-15,Surface Water Discharge Permit,Municipal Major,baltimore-city
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-22-2760,2022-01-07,2022-03-07,Surface Water Discharge Permit,Municipal Major,baltimore-city
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-22-2779,2022-02-15,2022-03-15,Surface Water Discharge Permit,Municipal Major,baltimore-city
,3640,Culpeper of Fruitland LLC,28114 Old Eden Road,"Eden,MD,21826",Wicomico,Administrative Order,CO-17-2415,2016-07-28,2019-04-01,Groundwater Discharge Permit;Non-Tidal Wetlands;Sediment,Industrial Minor,wicomico
,3944,National Security Agency,9800 Savage Road,"Fort George G. Meade,MD,20755-6000",Anne Arundel,Penalty Settlement,C-15-2220,2015-02-19,2015-03-06,Sediment,,anne-arundel
,4107,"Clean Harbors Laurel ,LLC",3527 Whiskey Bottom Road,"Laurel,MD,20724-1403",Anne Arundel,Penalty Settlement,Arno Laud,2015-12-29,2016-01-20,Surface Water Discharge Unauthorized,Industrial Stormwater,anne-arundel
,4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,PS-16-2306,2015-08-26,2015-09-23,Surface Water Discharge Unauthorized,Industrial Major,baltimore
,5030,WSSC Parkway WRRF,10100 Canadian Way,"Laurel,MD,20708",Prince George's,Penalty Settlement,PS-13-1884,2013-03-13,2013-04-17,Notice of Intent;Sediment,Notice of Intent (Construction),prince-georges
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,Patrick Noyes,2019-05-22,2019-06-20,Surface Water Discharge Unauthorized,Municipal Major,prince-georges
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Stipulated Penalty,SP-23-2851,2022-11-28,,Surface Water Discharge Permit,Municipal Minor,montgomery
,8449,Back River WWTP,8201 Eastern Ave,"Baltimore,MD,21224",Baltimore,"Complaint, Order, Penalty",COP-16-2405,2016-06-08,2022-03-24,Surface Water Discharge Permit,Municipal Major,baltimore
,8455,Queenstown WWTP,120 Skipjack Cove Lane,"Queenstown,MD,21658",Queen Anne's,Penalty Settlement,Patrick Noyes,2019-07-17,2019-07-29,Surface Water Discharge Permit,Municipal Minor,queen-annes
,9165,"Joseph Smith & Sons, Inc",2001 Kenilworth Ave,"Capitol Heights,MD,20743",Prince George's,Penalty Settlement,Linda Eisgruber,2013-12-19,2014-01-16,Surface Water Discharge Unauthorized,Industrial Stormwater,prince-georges
,9359,"Imerys Carbonates USA, Inc.",10000 B Beaver Dam Rd,"Cockeysville,MD,21030",Baltimore,Penalty Settlement,PS-13-1885,2013-05-15,2013-06-15,Surface Water Discharge Unauthorized,,baltimore
,10585,Calvert County Board Of Commissioners,401 Sweetwater Rd,"Lusby,MD,20657",Calvert,Settlement Agreement,SAP-14-2086,2014-05-01,2014-05-28,Surface Water Discharge Permit,Industrial Stormwater,calvert
,10856,"Toyota Motor Sales, USA, Inc",6710 Baymeadow Dr,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,PS 20-2606,2019-08-26,2019-09-26,Surface Water Discharge Unauthorized,,anne-arundel
,11104,Davidsonville Transmitter Site,3290 Bottner Road,"Gambrills,MD,21054",Anne Arundel,Penalty Settlement,C-13-1845,2013-03-08,2013-04-08,Sediment,,anne-arundel
,18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,,,,2014-09-14,Not Assigned,,prince-georges
,18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,Settlement Agreement,SAP-13-1742,2012-08-17,2014-09-14,Notice of Intent;Sediment,Notice of Intent (Construction),prince-georges
,19080,Winters Apartments WWTP,Rte 5 at Winters Lane,"Leonardtown,MD,20650",St. Mary's,"Complaint, Order, Penalty",Jess Herpel,2016-12-20,,Surface Water Discharge Permit,Municipal Minor,st-marys
,19664,Thurmont WWTP,96  E Moser Rd,"Thurmont,MD,21788",Frederick,Consent Order,,2012-05-21,2015-08-04,Surface Water Discharge Permit,,frederick
,19786,Colonel Richardson High School,25320 Richardson Rd,"Federalsburg,MD,21632",Caroline,Settlement Agreement,Eisgruber,2014-09-30,2014-10-21,Surface Water Discharge Permit,,caroline
,88,Piney Point - Sunoco LLC,17877 Piney Point Rd,"Piney Point,MD,20674",St. Mary's,Settlement Agreement,SA-14-2007,2013-10-11,2014-09-05,Surface Water Discharge Permit,Industrial Minor,st-marys
,167,GAF,1500 S Ponca St,"Highlandtown,MD,21224",Baltimore City,Penalty Settlement,"Bull, Kevin",2015-03-04,2015-03-20,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city
,1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,C-14-2004,2013-10-02,2013-11-12,Sediment,,prince-georges
,1852,Altium Packaging,7100 E Baltimore Street,"Baltimore,MD,21224",Baltimore,Penalty Settlement,Jess Herpel,2020-09-08,2020-09-08,Stormwater Management,Industrial Stormwater,baltimore
,1872,Westminster City Of,City Hall,"Westminster,MD,21157",Carroll,Penalty Settlement,,2013-01-13,2013-02-15,Surface Water Discharge Unauthorized,Collection System (SSO),carroll
,1974,Elkton WWTP,200 W Pulaski Hwy,"Elkton,MD,21921",Cecil,Penalty Settlement,PS-15-2178,2014-11-14,2015-01-16,Surface Water Discharge Unauthorized,Collection System (SSO),cecil
,2193,Northrop Grumman Systems Corporation-Elkton,55 Thiokol Road,"Elkton,MD,21921",Cecil,Penalty Settlement,PS-15-2169,2014-10-30,2014-12-04,Surface Water Discharge Unauthorized,Collection System (SSO),cecil
,2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Consent Order,COP-16-2410,2016-06-29,2017-02-09,Surface Water Discharge Permit,Industrial Major,anne-arundel
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Required Confirmation,Lenn Roberts,2016-06-08,2022-03-15,Surface Water Discharge Permit,Municipal Major,baltimore-city
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Consent Order,CO-15-2277,2015-06-24,2016-06-27,Surface Water Discharge Permit,Industrial Minor,kent
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Required Confirmation,Lenn Roberts,2020-10-08,2020-11-30,Groundwater Discharge Permit,Municipal Minor,kent
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,PS-13-1833,2013-01-10,2013-02-15,Notice of Intent;Sediment,Notice of Intent (Construction),prince-georges
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Stipulated Penalty,CJ-16-2399,2021-05-11,,Surface Water Discharge Permit,Municipal Minor,montgomery
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Consent Decree,Patrick Noyes,2013-09-05,2013-12-06,Surface Water Discharge Permit,Municipal Major,wicomico
,8453,Ballenger-McKinney WWTP,7400 Marcie's Choice Lane,"Frederick,MD,21704",Frederick,Consent Order,CO-12-1543,2011-12-19,2018-01-04,Surface Water Discharge Permit,Municipal Major,frederick
,9283,"Sims ARG, Inc. - Millington Ave.",909 Millington Ave,"Franklin,MD,21223",Baltimore City,Settlement Agreement,Arno Laud,2019-07-01,2019-07-17,Surface Water Discharge Permit,Industrial Minor,baltimore-city
,9791,Maryland State Police Aviation - Washington,"East Perimeter Rd, Bldg 2487","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,C-13-1841,2013-01-18,2013-03-18,Sediment,,prince-georges
,10400,Patuxent Water Reclamation Facility,1640 Professional blvd,"Crofton,MD,21114",Anne Arundel,Consent Order,CO-12-1581,2012-02-03,2017-11-22,Surface Water Discharge Permit,Municipal Major,anne-arundel
,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Stipulated Penalty,SP-21-2671,2020-10-01,,Surface Water Discharge Permit,,carroll
,18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Penalty Settlement,Patrick Noyes,2017-04-13,2017-05-12,Surface Water Discharge Unauthorized,Collection System (SSO),worcester
,19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Penalty Settlement,Patrick Noyes,2016-03-01,2016-03-23,Surface Water Discharge Unauthorized,Collection System (SSO),somerset
,19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Penalty Settlement,Patrick Noyes,2019-09-23,2019-10-11,Surface Water Discharge Unauthorized,Collection System (SSO),somerset
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Complaint & Order,AOP-18-2530,2018-05-14,2018-06-04,Groundwater Discharge Permit,Municipal Minor,howard
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Stipulated Penalty,Arno Laud,2018-08-20,2018-11-28,Groundwater Discharge Permit,,howard
,34,Smithsonian Paul E Garber Facility,3904 Old Silver Hill Road,"Suitland,MD,20746-3190",Prince George's,,,,,Not Assigned,,prince-georges
,120,Tradepoint Atlantic,1600 Sparrows Point Blvd,"Baltimore,MD,21219",Baltimore,Consent Order,SAP-15-2242,2015-04-09,2017-07-11,Surface Water Discharge Permit,Industrial Major,baltimore
,503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Settlement Agreement and Consent Order,CO-19-2580,2019-03-01,2022-05-20,Groundwater Discharge Permit,Municipal Minor,harford
,1152,University of Maryland Prince George's Hospital Center,3001 Hospital Dr,"Cheverly,MD,20785",Prince George's,Settlement Agreement,SA-13-1748,2012-09-06,2012-09-26,Sediment;Surface Water Discharge Unauthorized,,prince-georges
,1839,Project - Fort George G. Meade,2212 Chisholm Avenue,"Fort George G. Meade,MD,20755-5115",Anne Arundel,Settlement Agreement,SA-14-2012,2013-10-17,2013-11-26,Notice of Intent;Sediment,Notice of Intent (Construction),anne-arundel
,1873,V Luke LLC,300 Pratt Street,"Luke,MD,21540-1099",Allegany,Settlement Agreement,Patrick Noyes,2016-04-27,2016-05-25,Pretreatment,Industrial Major,allegany
,1919,GenOn Chalk Point LLC Generating Station,25100 Chalk Point Road,"Aquasco,MD,20608",Prince George's,Consent Decree,Lenn Roberts,2016-08-26,,Surface Water Discharge Permit,Industrial Major,prince-georges
,2184,Congoleum Corporation,2700 Emory Road,"Finksburg,MD,21048",Carroll,Penalty Settlement,PS-13-1948,2013-06-10,2013-08-12,Surface Water Discharge Permit,,carroll
,2345,AMG Resources Corporation,2415 Grays Road,"Dundalk,MD,21222",Baltimore,Penalty Settlement,,,2016-09-23,Not Applicable,Industrial Stormwater,baltimore
,2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Consent Order,CA-14-1986,2013-09-03,2016-09-12,Surface Water Discharge Permit,Industrial Major,anne-arundel
,2975,"ABF Freight System, Inc.",6720 Washington Blvd,"Elkridge,MD,21075",Howard,,,,,Stormwater Management,Industrial Stormwater,howard
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Compliance Order,SP-19-2545,2018-07-31,2018-10-01,Surface Water Discharge Permit,Municipal Major,baltimore-city
,3412,World Recycling Company,5600 Columbia Park Road,"Cheverly,MD,20785",Prince George's,"Complaint, Order, Penalty",JOP-23-2875,2023-01-10,,Surface Water Discharge Unauthorized,Industrial Stormwater,prince-georges
,4017,Broadwater Water Reclamation Facility,1161 Deep Cove Road,"Churchton,MD,20733",Anne Arundel,Consent Order,CO-12-1583,2012-02-03,2017-11-22,Surface Water Discharge Permit,Municipal Major,anne-arundel
,4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,PS-13-1959,2013-08-22,2013-10-02,Surface Water Discharge Permit,Industrial Major,baltimore
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Consent Order,CO-14-2048,2013-12-23,2017-01-18,Surface Water Discharge Permit,Municipal Major,prince-georges
,5287,"Dominion Energy Cove Point LNG, LP",2100 Cove Point Road,"Lusby,MD,20657",Calvert,Penalty Settlement,PS-14-1976,2013-08-15,2013-09-05,Surface Water Discharge Permit,Industrial Minor,calvert
,7692,"Fairwinds Marina, LLC",1000 Fairwinds Dr,"Annapolis,MD,21409",Anne Arundel,Penalty Settlement,PS-15-2212,2015-02-05,2015-03-03,Tidal Wetlands,,anne-arundel
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,2013-09-05,2017-07-18,Surface Water Discharge Permit,Municipal Major,wicomico
,8138,Sisson St Yard # 10 City Of Baltimore,2840 Sisson St,"Baltimore,MD,21211",Baltimore City,Penalty Settlement,PS-13-1923,2013-05-21,2013-06-14,Surface Water Discharge Unauthorized,,baltimore-city
,8596,CITY OF CUMBERLAND,56 N Liberty St,"Cumberland,MD,21501-1702",Allegany,Penalty Settlement,C-16-2347,2015-12-04,2015-12-23,Sediment,,allegany
,9467,Charles County Municipal Landfill No. 2,12305 Billingsley Road,"Waldorf,MD,20602",Charles,Penalty Settlement,PS-15-2258,2015-05-11,2015-07-06,Notice of Intent,Notice of Intent (Construction),charles
,9695,Laurel Ready Mix Concrete,5501 Van Dusen Rd,"Laurel,MD,20707",Prince George's,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,prince-georges
,10856,"Toyota Motor Sales, USA, Inc",6710 Baymeadow Dr,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,Julie Gowe,2019-08-26,2019-09-26,Surface Water Discharge Unauthorized,,anne-arundel
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2389247,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Required Confirmation,Lenn Roberts,2019-04-16,2023-01-18,Surface Water Discharge Permit,Municipal Minor,carroll
,18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Settlement Agreement,Jami Everton,2018-09-19,2021-01-22,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,,worcester
,19206,Daniel G. Schuster Concrete/Hagerstown Ready Mix Concrete Plant,1000 Sherman Avenue,"Hagerstown,MD,21740",Washington,Settlement Agreement,Patrick Noyes,2018-12-14,2018-12-26,Surface Water Discharge Permit,Industrial Minor,washington
,19873,Pleasure Cove Marina,1701 Poplar Ridge Rd,"Pasadena,MD,21122",Anne Arundel,Settlement Agreement,SA-15-2197,2014-12-18,2015-01-14,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater,anne-arundel
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Offer to Settle,,,,Surface Water Discharge Permit,Municipal Minor,harford
,21037,Ceco Utilities WWTP,91 Johnstown Road,"Elkton,MD,21921",Cecil,Amended Complaint & Penalty,CO-14-1983,2012-12-07,2013-05-02,Surface Water Discharge Permit,Municipal Minor,cecil
,21825,Brunswick WWTP,"20 C&O Canal Tow Path Rd, E","Brunswick,MD,21716",Frederick,Required Confirmation,Lenn Roberts,2020-10-21,2020-11-03,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO),frederick
,21839,New Windsor WWTP,Water St,"New Windsor,MD,21776",Carroll,Penalty Settlement,"Bull, Kevin",2015-07-31,2015-08-27,Surface Water Discharge Unauthorized,Collection System (SSO),carroll
,21866,Clear Spring WWTP,13081 Burnie Kinsell Dr,"Clear Spring,MD,21722",Washington,Required Confirmation,Lenn Roberts,2020-11-13,2020-11-13,Surface Water Discharge Unauthorized,Collection System (SSO),washington
,21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,"Complaint, Order, Penalty",Eisgruber,2012-10-24,2012-12-12,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,talbot
,22084,Green Opportunities Corporation,227 Oldtown Road,"Goldsboro,MD,21636",Caroline,Consent Decree,Jami Everton,2014-08-26,,Non-Tidal Wetlands;Notice of Intent;Sediment;Waterway Construction,,caroline
,22084,Green Opportunities Corporation,227 Oldtown Road,"Goldsboro,MD,21636",Caroline,Temporary Restraining Order,CD-15-2143,2013-09-20,2014-08-25,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,,caroline
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Amended Consent Order,ACO-15-2142,2014-09-17,2016-09-14,Surface Water Discharge Permit,Municipal Minor,kent
,22919,Sudlersville WWTP,"416 S Church St, at inetrsection of Goldsboro Rd & Elevator Rd","Sudlersville,MD,21668",Queen Anne's,Penalty Settlement,PS-15-2134,2014-09-09,2014-09-24,Surface Water Discharge Unauthorized,Collection System (SSO),queen-annes
,22962,Lisbon Shopping Plaza,700-712 Lisbon Center Dr,"Woodbine,MD,21797",Howard,Consent Order,COP-15-2254,2015-05-14,2020-09-01,Groundwater Discharge Permit,Municipal Minor,howard
,22972,Calvert Gateway WWTP and WTP,"10760 Town Center Blvd, Rte 4 & Town Center","Dunkirk,MD,20754",Calvert,Consent Order,CO-15-2228,2015-03-13,2016-08-16,Groundwater Discharge Permit,,calvert
,22972,Calvert Gateway WWTP and WTP,"10760 Town Center Blvd, Rte 4 & Town Center","Dunkirk,MD,20754",Calvert,Stipulated Penalty,SP-22-2782,2022-04-04,2022-09-22,Groundwater Discharge Permit,Municipal Minor,calvert
,23434,Smithsburg WWTP,22523 Leitersburg - Smithburg Rd,"Smithsburg,MD,21783",Washington,Settlement Agreement,Eisgruber,2015-07-06,2015-07-23,Surface Water Discharge Permit,Municipal Minor,washington
,23447,WA DES- C William Winebrenner WWTP,25040 Pen Mar Rd,"Cascade,MD,21719",Washington,Consent Order,CA-12-1522,2011-12-28,2017-08-24,Surface Water Discharge Permit,,washington
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Settlement Agreement and Consent Order,CO-20-2621,2019-11-21,,Surface Water Discharge Permit,Municipal Minor,garrett
,23545,Mirant - Westland Flyash Site,20831 Martinsburg Rd,"Dickerson,MD,20842",Montgomery,Penalty Settlement,Patrick Noyes,2017-10-31,2017-11-09,Surface Water Discharge Unauthorized,Industrial Minor,montgomery
,23576,"Harwood Landfill, Inc.",4431 Sands Rd,"Harwood,MD,20776",Anne Arundel,Information Request,CO-13-1892,2022-12-22,,Surface Water Discharge Permit,Industrial Minor,anne-arundel
,23637,Bel Alton WWTP,9225 Twinberry Drive,"Bel Alton,MD,20611",Charles,Amended Consent Order,ACO-06-0268,2014-09-25,2014-09-25,Surface Water Discharge Permit,Municipal Minor,charles
,23638,Berlin WWTP,9210 Bottle Branch Rd,"Berlin,MD,21811",Worcester,Penalty Settlement,Patrick Noyes,2016-06-16,2016-06-23,Surface Water Discharge Unauthorized,Collection System (SSO),worcester
,19976,"Strongs Bay Seafood, Inc",1719-A Little Creek Rd,"Chester,MD,21619",Queen Anne's,Penalty Settlement,PS-13-1790,2012-11-20,2014-09-11,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,,queen-annes
,20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Penalty Settlement,PS-14-2023,2013-11-06,2014-03-11,Surface Water Discharge Permit,Municipal Major,cecil
,20304,"Rockville Fuel and Feed Co., Inc.",14901 Southlawn Lane,"Rockville,MD,20850",Montgomery,Penalty Settlement,"Bull, Kevin",2016-03-07,2016-03-17,Surface Water Discharge Permit,Industrial Minor,montgomery
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Required Confirmation,,,2022-02-10,Surface Water Discharge Permit,Municipal Minor,harford
,20744,Hanover Foods Corp,502 Factory Ave,"Ridgely,MD,21660",Caroline,Penalty Settlement,Eisgruber,2011-09-12,2011-09-26,Stormwater Management,,caroline
,20765,Oakland WWTP,27 Oakland Rosedale Rd,"Oakland,MD,21550",Garrett,Penalty Settlement,PS-15-2168,2014-10-24,2014-10-24,Surface Water Discharge Unauthorized,Collection System (SSO),garrett
,20834,Freedom District WWTP,1301 Raincliff Rd.,"Sykesville,MD,21784",Carroll,Consent Order,CO-12-1512,2011-11-09,2019-12-18,Surface Water Discharge Permit,,carroll
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Stipulated Penalty,SP-19-2540,2018-07-11,2018-08-10,Surface Water Discharge Permit,Municipal Major,frederick
,21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Settlement Agreement,Eisgruber,2010-11-15,2012-05-29,Surface Water Discharge Permit,Municipal Minor,anne-arundel
,21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Penalty Settlement,PS-15-2191,2014-12-04,2014-12-11,Surface Water Discharge Unauthorized,Collection System (SSO),cecil
